R0001	100001|.44 Magnum.1	Provides only only maneuver each combat, even if the bearer changes. [LSJ 19980302-2]
R0680	100743|Flaming Candle.2	If it has been equipped or played already, an effect can still "put it into play" provided it is not an "equip" action (eg. {Kiss of Lachesis}, {Grasp the Ghostly}). [LSJ 20060209]
R0681	100743|Flaming Candle.3	Once in play, it can be moved (eg. {Heidelberg Castle, Germany}), or equipped by another minion from the minion who has it. [ANK 20221103]
R0682	100745|Flash Grenade.1	If the opponent dodges, the "is locked and does not unlock as normal" effect do not apply, but it still burns. [RTR 20041202] [LSJ 20060808]
R0683	100745|Flash Grenade.2	If the combat continues or a new combat begins, the "is locked and does not unlock as normal" effect do not apply, but it still burns. [RTR 20020501] [LSJ 20040602],
R0684	100745|Flash Grenade.3	If the opponent unlocks before combat ends (eg. {Majesty}), the Grenade locks them again after it ends. [LSJ 20040601]
R0685	100745|Flash Grenade.4	Still burns when used if the opponent uses a "strike: combat ends" too. It does not if combat ends before strike resolution (eg. {Rötschreck}). [LSJ 20001127-2] [LSJ 20010806-1]
R0686	100747|Fleetness.1	[CEL] If the target unlocks and the action is not blocked, it is successful but has no effect. [LSJ 20070411] [LSJ 20090514]
R0687	100749|Flesh of Marble.1	[pro] Cannot be used to prevent aggravated damage, even if the minion treats them as normal damage (eg. {Skin of Night}). [LSJ 20040812-2] [PIB 20130327]
R0688	100749|Flesh of Marble.2	[PRO] The vampire preventing the damage can choose which one of the damage he does not prevent, normal or aggravated. [LSJ 20021001]
R0689	100750|Fleshcraft.1	The action to burn Fleshcraft suffers the -1 stealth penalty as well, so is usually at zero stealth to start (or -1 stealth if superior [VIC]). [LSJ 19970224]
R0690	100750|Fleshcraft.2	The rest of the effect applies if the damage is prevented, it does not if it is dodged. [LSJ 19990106-2]
R0691	100751|Flow Within the Mountain.1	[VIS] If the action continues "as if unblocked", all action modifiers and reaction cards are still in effect, even those pertaining to a successful block. [RTR 19941109] [ANK 20190116]
R0692	100751|Flow Within the Mountain.2	[VIS] If the action continues "as if unblocked", Methuselah that had declined to block before do not get another opportunity to block. [ANK 20190116]
R0693	100751|Flow Within the Mountain.3	[VIS] An action cannot continue "as if unblocked" after a combat resulting from a successful action (eg. {Bum's Rush}). [RTR 19970630]
R0694	100751|Flow Within the Mountain.4	[VIS] "continue as if unblocked" moves the action card from the ash heap (where it went when the action was blocked) to limbo (where it should be if the action is not blocked). If the action card is not in the ash heap, then the action cannot be continued. [LSJ 20070808-1]
R0695	100751|Flow Within the Mountain.5	[VIS] If the combat continues or a new combat begins, the "action continues as if unblocked" effect is lost. [LSJ 19980109] [RTR 20020501]
R0696	100755|Folderol.1	[aus] The burn blood effect is not reduced by effects that reduce the cost of the card (eg. {Helena (ADV)}). The card cannot be played if the minion cannot afford to burn the blood. [ANK 20210226]
R0697	100755|Folderol.2	[MYT] If another Methuselah is the target, he must declare whether he attempts or declines to block before Folderol can be played. [ANK 20200607]
R0698	100756|Follow the Alpha.1	Effects that end combat and then do something else after combat (include continuing the action as if unblocked) will be lost, except for unlock effects. [LSJ 19980109] [RTR 20020501]
R0699	100756|Follow the Alpha.2	Cannot be used to start a new combat if there is already a pending combat queued. [RTR 20020501]
R0700	100757|Follow the Blood.1	If played on a vampire who successfully hunts with a {Perfectionist}, {Perfectionist} grants the blood before combat. [LSJ 20110308]
R0701	100757|Follow the Blood.2	Is played after resolution, but still during the action. Cards and effects that played "after resolution" (eg. {Freak Drive}) can be played before it, but not after. [LSJ 19981028] [LSJ 20100206-2]
R0702	100758|Force of Personality.1	[PRE] [ACTION MODIFIER] Cards and effects that are played "as the action is announced" must be played before playing "regular" action modifier or reaction cards. [ANK 20190425]
R0703	100758|Force of Personality.2	[PRE] [ACTION MODIFIER] Replace the action card (if any) before playing it. [ANK 20181208]
R0704	100759|Force of Will.1	The damage is applied if the action reaches resolution, even if it ends before combat (eg. {Mirror Walk}, {Change of Target}, {Red Herring}) or has no effect (eg. because cost cannot be paid). [ANK 20220331] [ANK 20210124] [LSJ 20020927] [LSJ 20021115] [ANK 20221011-2]
R0705	100759|Force of Will.2	The damage is not applied if the action is canceled before resolution (eg. {Tangle Atropos' Hand}, {The Kiss of Ra}). [ANK 20220401] [ANK 20211015] [ANK 20210124]
R0706	100759|Force of Will.3	{Mask of a Thousand Faces} cannot be used to take over, since it requires an unlocked vampire and the action requires a locked one. [LSJ 20020927]
R0707	100759|Force of Will.4	Cards usable after action resolution (eg. {Freak Drive}) can be played before or after the damage is taken. [LSJ 20010715]
R0708	100760|Forced Awakening.1	The vampire need not attempt to block nor play further reaction cards: that is merely an option. [TOM 19951129]
R0709	100760|Forced Awakening.2	If he fails to block, the vampire only burns a blood when the action begins to resolve (successfully or not). He can pay for reactions after declining to block, before burning a blood. [LSJ 19990421]
R0710	100760|Forced Awakening.3	Can be played after action resolution to use a reaction card (eg. {Fast Reaction} after combat). [LSJ 20091123]
R0711	100760|Forced Awakening.4	The vampire needs not pay a blood if he successfully blocks, even if the action continues as if unblocked after the block (eg. {Form of Mist}). [LSJ 20070417]
R0712	100760|Forced Awakening.5	Does not consider blocks made before the card was played (if the action has been continued with eg. {Form of Mist}). [ANK 20230319]
R0713	100761|Forced March.1	[cel][for] Is played after resolution, but still during the action. Action modifiers and effects that can be played "after resolution" can be played before or after it. [LSJ 19981028] [ANK 20190425]
R0714	100761|Forced March.2	Can be used to unlock if the action is successful, even if it has no effect due to lack of a suitable target. [LSJ 20070411]
R0715	100763|Forearm Block.1	Prevents up to 2 damage, it can be used to prevent less. [RTR 20041202]
R0716	100764|Foresee.1	If the action continues "as if unblocked", all action modifiers and reaction cards are still in effect, even those pertaining to a successful block. [RTR 19941109] [ANK 20190116]
R0717	100764|Foresee.2	If the action continues "as if unblocked", Methuselah that had declined to block before do not get another opportunity to block. [ANK 20190116]
R0718	100764|Foresee.3	An action cannot continue "as if unblocked" after a combat resulting from a successful action (eg. {Bum's Rush}). [RTR 19970630]
R0719	100764|Foresee.4	"continue as if unblocked" moves the action card from the ash heap (where it went when the action was blocked) to limbo (where it should be if the action is not blocked). If the action card is not in the ash heap, then the action cannot be continued. [LSJ 20070808-1]
R0720	100765|Foreshadowing Destruction.1	[DOM] Can be played against a target with 10 or more pool and does not count against the limit in this case: it will only have a lingering effect (+3 bleed if the target happens to have 9 or less). [PIB 20110817] [RTR 20191031]
R0721	100765|Foreshadowing Destruction.2	[DOM] If the bleed bonus is lost during the action (eg. {Deflection} to another target), it does not count against the limit anymore and an additional bleed modifier can be used. [RTR 20191031] [ANK 20211019-2]
R0722	100766|Forest of Shadows.1	May be used anytime it is unlocked, even if it has been used previously during the same action (it must be unlocked by some method, of course). [TOM 19960109]
R0723	100767|Forger's Hammer.1	Additional damage inherits all of the properties of the base damage. [TOM 19960225]
R0724	100771|Form of Mist.1	[PRO] If the action continues "as if unblocked", all action modifiers and reaction cards are still in effect, even those pertaining to a successful block. [RTR 19941109] [ANK 20190116]
R0725	100771|Form of Mist.2	[PRO] If the action continues "as if unblocked", Methuselah that had declined to block before do not get another opportunity to block. [ANK 20190116]
R0726	100771|Form of Mist.3	[PRO] An action cannot continue "as if unblocked" after a combat resulting from a successful action (eg. {Bum's Rush}). [RTR 19970630]
R0727	100771|Form of Mist.4	[PRO] "continue as if unblocked" moves the action card from the ash heap (where it went when the action was blocked) to limbo (where it should be if the action is not blocked). If the action card is not in the ash heap, then the action cannot be continued. [LSJ 20070808-1]
R0728	100771|Form of Mist.5	[PRO] If the combat continues or a new combat begins, the "After combat ends" effect cannot be used. [LSJ 19980109] [RTR 20020501] [LSJ 20031123]
R0729	100778|Foul Blood.1	A hunt is not successful if no blood is gained, even if the hunt action is still successful. [LSJ 20050720-2]
R0730	100784|Fractured Armament.1	Cannot be used if there is no equipment to destroy. [RTR 19980928]
R0731	100784|Fractured Armament.2	[pot] Is not a damaging strike. [LSJ 19970225]
R0732	100784|Fractured Armament.3	[POT] Is a damaging strike. [LSJ 19970225]
R0733	100785|Fragment of the Book of Nod.1	Cannot be used when a card is played to draw a card that would cancel it "as it is played". [RTR 20040501]
R0734	100788|Freak Drive.1	[FOR] Is played after all combats are handled. Can be played from torpor. [RTR 19980623] [LSJ 20030103] [ANK 20180906]
R0735	100788|Freak Drive.2	[for] Can be played if the action is unblocked even if it has no effect due to lack of a suitable target. [LSJ 20070411]
R0736	100788|Freak Drive.3	[for] Is played after the action resolves. (eg. if played after equipping {Learjet}, you draw an additional card). [PIB 20150915]
R0737	100790|Free States Rant.1	If there are insuffient targets to which to allocate all of the points allowed, then the card cannot be played. [LSJ 20010810]
R0738	100791|Frenzy.1	Only prevents the use of equipment after it is played - it will not cancel the effects of equipment used before it is played. [TOM 19960326]
R0739	100793|From a Sinking Ship.1	Requirements do not apply when taking control of a card already in play. [TOM 19960226-1]
R0740	100794|Frontal Assault.1	If you play more than one, you gain and loose pool for all of them (they stack). [LSJ 20061018]
R0741	100798|Galaric's Legacy.1	Is a change of the actual sect. A temporary effect overriding the sect has precedence and if it does, this card burns (eg. {Writ of Acceptance}). [LSJ 20100811]
R0742	100798|Galaric's Legacy.2	If the target changes sect to a sect inappropriate for his title, he loses its benefit until his sect is appropriate. He immediately yields the title if it is contested or he receives a new one. [LSJ 20060904]
R0743	100799|Gambit Accepted.1	If the controller of a Gambit in play withdraws, his or her predator gets a VP from the Gambit (the Methuselah who withdraws still gets a VP for withdrawing, of course). [RTR 20040501]
R0744	100801|Games of Instinct.1	The gain blood effect is applied after combats ends, no combat card can be played afterwards. The acting player chooses the order of after-combat effects. [LSJ 20100324]
R0745	100802|Gang Tactics.1	If blocked, no other effect can be used to reset the range, but other pre-range effects can be played. [RTR 19970630] [ANK 20180720]
